MAIN_RIV,DIS_AV_CMS
70045262,2409.602
70283328,1098.293
70045262,2363.828
70045262,2334.635
70283328,1098.386
70283328,1098.466
70283328,1098.535
70045262,2332.917
70283328,1098.956
70124198,1834.414
70045262,2302.404
70283328,1099.049
70124198,1833.362
70124198,1826.184
70045262,2297.317
70124198,1838.775
70283328,1101.368
70045262,2290.539
70124198,1839.145
70124198,1826.065
70124198,1822.141
70045262,2283.741
70124198,1820.144
70045262,2280.338
70124198,1840.777
70124198,1216.696
70124198,1207.729
70124198,1206.964
70124198,1819.993
70124198,1131.702
70124198,1843.428
70124198,1218.357
70045262,2278.637
70124198,1219.886
70124198,1219.565
70124198,1218.612
70283328,1101.212
70124198,1847.283
70124198,1845.808
70124198,1844.391
70124198,1843.767
70124198,1887.602
70124198,1226.893
70124198,1220.403
70124198,1819.519
70124198,1225.12
70283328,1101.259
70124198,1867.215
70124198,1861.737
70124198,1876.989
70124198,1848.417
70124198,1220.944
70045262,2268.469
70124198,1871.032
70124198,1869.991
70124198,1851.989
70124198,1849.369
70124198,1858.824
70124198,1237.797
70124198,1134.97
70045262,2256.606
70124198,1237.011
70124198,1229.445
70124198,1235.202
70124198,1231.143
70124198,1223.21
70124198,1234.559
70124198,1221.344
70124198,1222.739
70124198,1222.474
70124198,1221.933
70124198,1139.768
70124198,1240.263
70124198,1812.799
70124198,1241.534
70124198,1140.947
70283328,1104.003
70045262,2253.191
70124198,1811.743
70124198,1242.828
70124198,1245.999
70283328,1104.028
70124198,1255.761
70124198,1255.409
70124198,1149.332
70124198,1149.402
70124198,1149.432
70283328,1104.245
70124198,1811.315
70124198,1800.688
70124198,1150.143
70124198,1131.804
70124198,1149.156
70283328,1104.287
70124198,1144.307
70124198,1442.607
70124198,1119.91
70124198,1129.231
70124198,1148.839
70124198,1256.529
70124198,1146.067
70124198,1147.992
70124198,1441.612
70124198,1133.941
70124198,1142.35
70124198,1143.341
70045262,2239.608
70124198,1137.607
70283328,1105.692
70124198,1441.192
70124198,1256.963
70124198,1440.165
70124198,1439.725
70045262,2220.975
70283328,1107.979
70283328,1107.809
70283328,1108.166
70045262,2204.5
70283328,1109.306
70045262,2169.531
70283328,1108.916
70045262,2152.656
70283328,1108.888
70045262,2148.931
70283328,1108.337
70283328,1107.893
70283328,1113.697
70283328,1118.094
70283328,1112.596
70283328,1112.592
70045262,2147.664
70283328,1112.243
70045262,2144.814
70045262,2133.372
70283328,1110.724
70283328,1157.538
70045262,1534.862
70283328,1153.91
70045262,1533.437
70045262,1531.579
70283328,1153.483
70283328,1152.951
70283328,1152.768
70283328,1152.014
70283328,1152.562
70045262,1531.509
70283328,1150.68
70283328,1183.215
70045262,1530.207
70283328,1176.271
70045262,1529.041
70283328,1176.375
70283328,1188.233
70045262,1528.223
70045262,1527.961
70283328,1378.35
70283328,1378.429
70283328,1378.406
70283328,1378.639
70283328,1378.543
70045262,1527.747
70283328,1391.112
70045262,1525.608
70045262,1346.488
70283328,1391.322
70283328,1391.356
70283328,1391.19
70283328,1391.136
70283328,1392.368
70283328,1391.513
70283328,1391.704
70045262,1345.479
70283328,1392.219
70283328,1393.501
70045262,1340.973
70045262,1339.819
70283328,1393.353
70283328,1393.118
70283328,1394.266
70045262,1339.605
70283328,1394.263
70283328,1394.752
70045262,1335.898
70283328,1395.028
70283328,1395.298
70283328,1395.555
70045262,1335.866
70045262,1335.843
70283328,1400.272
70045262,1335.835
70283328,1400.863
70045262,1335.813
70283328,1403.117
70045262,1335.8
70283328,1408.294
70045262,1335.784
70174032,1222.0
70283328,1408.583
70283328,1409.19
70045262,1335.78
70283328,1409.301
70045262,1262.921
70174032,1221.131
70175955,1004.173
70175955,1022.068
70175955,1022.042
70175955,1021.926
70175955,1021.691
70175955,1007.422
70175955,1004.089
70174032,1160.455
70283328,1410.069
70283328,1439.54
70045262,1262.626
70283328,1439.723
70045262,1262.595
70045262,1262.572
70283328,1439.961
70045262,1262.561
70045262,1257.49
70283328,1443.566
70283328,1447.768
70045262,1257.323
70283328,1448.026
70174032,1160.245
70283328,1448.623
70174032,1157.896
70283328,1449.104
70045262,1257.293
70045262,1256.781
70283328,1449.841
70174032,1157.653
70174032,1156.993
70283328,1450.153
70174032,1153.154
70174032,1155.112
70174032,1156.513
70174032,1151.948
70045262,1256.742
70283328,1450.804
70174032,1151.696
70283328,1451.781
70174032,1150.912
70174032,1150.409
70174032,1146.666
70283328,1452.803
70174032,1145.095
70283328,1455.565
70045262,1256.834
70283328,1455.981
70045262,1258.122
70045262,1239.764
70283328,1456.575
70283328,1456.843
70174032,1143.645
70045262,1240.221
70174032,1142.08
70174032,1140.964
70283328,1457.734
70045262,1241.232
70283328,1551.9
70283328,1556.524
70283328,1556.786
70283328,1557.586
70045262,1242.709
